0.05,0.05,0.43587596485079033
0.05,0.1,0.4265603825963506
0.05,0.15000000000000002,0.36204150534974994
0.05,0.2,0.3758214914822561
0.05,0.25,0.4558232172582593
0.05,0.3,0.4052730123767562
0.05,0.35000000000000003,0.36405539635331774
0.05,0.4,0.4198625880299538
0.05,0.45,0.44036078066376977
0.05,0.5,0.42940640486428977
0.05,0.55,0.45403524561835096
0.05,0.6000000000000001,0.460181853695405
0.05,0.6500000000000001,0.45002839468799555
0.05,0.7000000000000001,0.451331386780891
0.05,0.7500000000000001,0.47604962050654004
0.05,0.8,0.4823583822199173
0.05,0.8500000000000001,0.49569558794768737
0.05,0.9000000000000001,0.4927932038812078
0.05,0.9500000000000001,0.47354939886574476
0.05,1.,0.4963872577086825
0.1,0.05,0.44578743153358197
0.1,0.1,0.4311661273303938
0.1,0.15000000000000002,0.369184881709592
0.1,0.2,0.37939146070905605
0.1,0.25,0.4545406859073823
0.1,0.3,0.42996353054934583
0.1,0.35000000000000003,0.41275684462985757
0.1,0.4,0.4659662890516419
0.1,0.45,0.46981781630143854
0.1,0.5,0.48072531549277714
0.1,0.55,0.4959192702409178
0.1,0.6000000000000001,0.4741813752048922
0.1,0.6500000000000001,0.5151701278620935
0.1,0.7000000000000001,0.5112383917045699
0.1,0.7500000000000001,0.5119628241528051
0.1,0.8,0.5122686928598456
0.1,0.8500000000000001,0.5197015474277648
0.1,0.9000000000000001,0.5302223402793534
0.1,0.9500000000000001,0.5243217260052203
0.1,1.,0.5191839519131073
0.15000000000000002,0.05,0.4263964312224974
0.15000000000000002,0.1,0.44068652077493414
0.15000000000000002,0.15000000000000002,0.38887030081129076
0.15000000000000002,0.2,0.40101007228781105
0.15000000000000002,0.25,0.46040548810930954
0.15000000000000002,0.3,0.44103506657322816
0.15000000000000002,0.35000000000000003,0.3987142469951044
0.15000000000000002,0.4,0.45515421970222986
0.15000000000000002,0.45,0.4792938426809368
0.15000000000000002,0.5,0.5090951476260215
0.15000000000000002,0.55,0.5105004668567173
0.15000000000000002,0.6000000000000001,0.5200647812175724
0.15000000000000002,0.6500000000000001,0.5326454382990984
0.15000000000000002,0.7000000000000001,0.5162316156765051
0.15000000000000002,0.7500000000000001,0.5202023298626389
0.15000000000000002,0.8,0.5251583953679764
0.15000000000000002,0.8500000000000001,0.5144191271652507
0.15000000000000002,0.9000000000000001,0.5281026454326756
0.15000000000000002,0.9500000000000001,0.518036283130332
0.15000000000000002,1.,0.527060888989806
0.2,0.05,0.41386158959630825
0.2,0.1,0.4350862269420843
0.2,0.15000000000000002,0.4165649588575547
0.2,0.2,0.429365099793467
0.2,0.25,0.44583838411877297
0.2,0.3,0.43763701505211317
0.2,0.35000000000000003,0.44063253364115534
0.2,0.4,0.466342881633433
0.2,0.45,0.4775594230801543
0.2,0.5,0.5069165866955458
0.2,0.55,0.5179344933193558
0.2,0.6000000000000001,0.523383502317345
0.2,0.6500000000000001,0.5280669310615566
0.2,0.7000000000000001,0.5101626644006464
0.2,0.7500000000000001,0.5264190435564322
0.2,0.8,0.5055428639294471
0.2,0.8500000000000001,0.5283540390297613
0.2,0.9000000000000001,0.5289886621660594
0.2,0.9500000000000001,0.5289934422830781
